# Generated from Chewing tsi.csv
# Source revision: ea74f76dd2548b1d65d0ff70c3ae66057a6ad97d
# Dictionary license: LGPL-2.1-or-later
㹴	犬
一	個	葉	頁	筆	張	般	向	項
一丁	點	不
一丁不	識
一丁點	兒
一上	來	場	台	去
一下	子	下	來	台	去	場
一不	小	可	注	精	二	做	知	能
一不做	二
一不做二	不
一不小	心
一不注	意
一不知	其
一不知其	二
一世	紀	英
一世英	名
一丘	之
一丘之	貉
一串	串
一九	九
一九九	八	七	六	五	四	九	三	一
一乾	二
一乾二	淨
一了	百
一了百	了	當
一事	無	不
一事不	長
一事不長	一
一事無	成
一二	八
一二八	事
一二八事	變
一五	一
一五一	十
一些	些
一人	稱	份	傳
一人傳	虛
一介	不
一介不	取
一代	代	不	巨	新	英	豪
一代不	如
一代不如	一
一代巨	擘
一代新	人
一代新人	換
一代英	豪
一代豪	傑
一以	貫
一以貫	之
一件	事
一伙	人
一位	數
一佛	出
一佛出	世
一併	處
一併處	理
一來	一	到
一來一	往
一信	號
一信號	系
一信號系	統
一個	月	人	個	接	樣	勁	坑	蘿
一個勁	兒
一個巴	掌
一個巴掌	拍
一個接	一
一個接一	個
一個蘿	蔔
一個蘿蔔	一
一個諸	葛
一個諸葛	亮
一個頭	兩
一個頭兩	個
一個鼻	孔
一倡	三	百
一倡三	歎
一倡百	和
一做	到
一傳	十
一億	元	人
一儆	百
一元	化	復	論	方	說
一元復	始
一元方	程
一元方程	式
一兆	元
一內	一
一內一	外
一八	事
一八事	變
一共	是
一兵	一
一兵一	卒
一再	叮
一再叮	嚀
一出	場	來	去
一刀	兩
一刀兩	斷
一分	鐘	一	錢	子	耕	為	收	貨
一分一	秒
一分收	穫	獲
一分為	二
一分耕	耘
一分錢	一
一分錢一	分
一切	都	從
一切從	簡
一切都	是	在
一別	多
一別多	年
一刻	千	值
一刻值	千
一刻值千	金
一刻千	金
一則	以
一則以	憂	喜
一前	一
一前一	後
一剎	那
一加	侖
一動	不
一動不	動	如
一動不如	一
一勞	永	動
一勞動	節
一勞永	逸
一匙	之
一匙之	量
一千	元	萬	零	個	人	塊
一千零	一
一千零一	夜
一去	不
一去不	回	返	復
